slug,version,plain_display_name,primary_task_archetypes,secondary_task_archetypes,primary_failure_modes,secondary_failure_modes,pipeline_stages,environment_promoters,environment_demoters,default_complexity_min,default_complexity_max,project_profile_priors,normally_exclude_for,escalates_from,escalates_to,counterbalance_notes,source_support,review_status,notes
drift-sink-scaffold,1.1.0,Retired-Branch Quarantine,"[""workflow-automation"", ""planning-design""]","[""research-grounding"", ""software-engineering"", ""skill-agent-creation""]","[""branch-contamination"", ""stale-state""]","[""context-overload"", ""task-drift"", ""domain-context-contamination""]","[""conflict resolution"", ""context compaction"", ""branch retirement"", ""review or restore""]","[""long_context"", ""persistent_work"", ""context_window_pressure"", ""corpus_mutable""]","[""evidence_conflicting"", ""requires_exact_fidelity""]",L2,L4,"[""long-context"", ""research"", ""agent-development"", ""software-development""]","[""knowledge-explanation"", ""quantitative-analysis""]","[""non-authoritative-branch-suppression""]","[""meta-stability""]","[""Quarantine only rejected or obsolete branches; preserve unresolved counterevidence and an explicit restore path.""]",source-gap,PASS,Selection prior operationalizes the recovered name without claiming unrecovered historical mechanics.
drift-spectra-scaling,1.1.0,Content-Specific Change Tolerance,"[""content-transformation"", ""content-authoring""]","[""software-engineering"", ""content-understanding""]","[""constraint-loss"", ""invariant-violation""]","[""over-editing"", ""under-editing"", ""task-drift""]","[""content decomposition"", ""risk classification"", ""corridor assignment"", ""review prioritization""]","[""requires_exact_fidelity"", ""contains_protected_literals"", ""multi_document"", ""structured_output_required""]",[],L1,L3,"[""authoring"", ""documentation"", ""long-context"", ""software-development""]","[""knowledge-explanation"", ""action-execution"", ""workflow-automation""]","[""controlled-drift-corridors""]","[""drift-suppression""]","[""Use only when content classes have observable tolerance differences; protected literals remain zero-drift.""]",strongly-derivable,PASS,Maps heterogeneous fidelity requirements to differentiated review depth.
drift-suppression,1.1.0,Drift Suppression,"[""content-transformation"", ""software-engineering"", ""workflow-automation""]","[""research-grounding"", ""action-execution"", ""skill-agent-creation""]","[""task-drift"", ""constraint-loss"", ""stale-state""]","[""branch-contamination"", ""invariant-violation"", ""domain-context-contamination""]","[""before action"", ""after transformation"", ""at checkpoints"", ""final acceptance""]","[""long_context"", ""persistent_work"", ""requires_exact_fidelity"", ""contains_protected_literals"", ""context_window_pressure"", ""corpus_mutable""]",[],L1,L4,"[""long-context"", ""software-development"", ""research"", ""agent-development"", ""legal-evidence""]","[""creative-exploration"", ""knowledge-explanation""]","[""task-set-lock-in""]","[""meta-stability""]","[""Retain declared creative corridors and do not validate against an unsupported summary of the baseline.""]",sufficiently-recovered,PASS,Broad drift control; select only when a semantic baseline and allowed corridor can be stated.
dynamic-depth-allocation,1.1.0,Per-Region Reasoning Depth,"[""content-understanding"", ""research-grounding"", ""software-engineering"", ""evaluation-audit""]","[""quantitative-analysis"", ""planning-design"", ""decision-support""]","[""under-verification"", ""over-verification"", ""evidence-coverage-gap""]","[""context-overload"", ""weak-stopping-rule"", ""invalid-validation-signal""]","[""task decomposition"", ""regional scoring"", ""depth routing"", ""reallocation""]","[""long_context"", ""multi_document"", ""high_stakes"", ""context_window_pressure"", ""evidence_conflicting""]","[""deterministic_verifier_available"", ""acceptance_criteria_present""]",L2,L4,"[""long-context"", ""research"", ""software-development"", ""data-analysis"", ""medical-evidence""]","[""knowledge-explanation"", ""content-transformation""]","[""reasoning-scale-controller"", ""risk-tier-scaling""]","[""parallel-qms""]","[""Regional scoring must be observable enough to audit; use direct validators instead of model depth where available.""]",sufficiently-recovered,PASS,Allocates depth by local marginal value rather than applying uniform scrutiny.
epistemic-status-gating,1.1.0,Evidence-Confidence Gate,"[""research-grounding"", ""decision-support"", ""evaluation-audit""]","[""knowledge-explanation"", ""content-authoring"", ""quantitative-analysis""]","[""unsupported-claim"", ""unsupported-precision"", ""poor-uncertainty-handling"", ""abstention-miscalibration""]","[""source-applicability-mismatch"", ""evidence-conflict-suppression"", ""capability-hallucination""]","[""evidence-capture"", ""reasoning"", ""pre-output-verification""]","[""high_stakes"", ""evidence_conflicting"", ""evidence_unavailable"", ""requires_citations"", ""time_sensitive""]",[],L1,L4,"[""research"", ""medical-evidence"", ""legal-evidence"", ""data-analysis"", ""general""]","[""content-transformation"", ""creative-exploration""]","[""grounding-no-invention""]","[""multi-truth-gating"", ""fail-closed-abstention""]","[""Expose concise claim status, not private reasoning; labels do not substitute for evidence.""]",strongly-derivable,PASS,Strong direct ontology support from four primary failure-control links.
explanation-minimality-scaffold,1.1.0,Minimum Sufficient Explanation,"[""knowledge-explanation"", ""content-authoring""]","[""planning-design"", ""evaluation-audit""]","[""over-branching"", ""weak-stopping-rule""]","[""poor-uncertainty-handling"", ""poor-handoff"", ""abstention-miscalibration""]","[""response planning"", ""draft compression"", ""final readability check""]","[""structured_output_required"", ""acceptance_criteria_present""]","[""high_stakes"", ""requires_citations"", ""missing_required_information""]",L0,L2,"[""general"", ""documentation"", ""authoring"", ""software-development""]","[""research-grounding"", ""constraint-reasoning"", ""action-execution""]",[],"[""pedagogical-alignment""]","[""Retain rationale, uncertainty, warnings, and verification details that change safe use or comprehension.""]",modern-operationalization,PASS,"Compression prior for bounded outputs, not a mandate to omit decision-relevant support."
external-state-automation,1.1.0,External State Automation,"[""workflow-automation"", ""action-execution"", ""skill-agent-creation""]","[""software-engineering"", ""planning-design""]","[""lost-state"", ""poor-handoff""]","[""stale-state"", ""action-permission-risk"", ""version-drift""]","[""state checkpoint"", ""external write"", ""session restoration"", ""consistency verification""]","[""persistent_work"", ""handoff_expected"", ""durable_state_available"", ""file_write_allowed"", ""external_action_allowed""]","[""review_only"", ""sensitive_data""]",L2,L4,"[""agent-development"", ""software-development"", ""long-context"", ""general""]","[""knowledge-explanation"", ""creative-exploration"", ""evaluation-audit""]","[""state-snapshot"", ""sequential-memory-state-engine""]","[""state-routing-bus""]","[""Persistence requires both host capability and explicit write authority; verify restored state against the current source of truth.""]",sufficiently-recovered,PASS,"Unavailable or unauthorized storage is a hard boundary, not a prompt-level capability."
fail-closed-abstention,1.1.0,Fail-Closed Abstention,"[""research-grounding"", ""action-execution"", ""evaluation-audit""]","[""decision-support"", ""quantitative-analysis"", ""knowledge-explanation""]","[""abstention-miscalibration"", ""unsupported-claim""]","[""missing-required-information"", ""poor-uncertainty-handling"", ""capability-hallucination"", ""action-permission-risk"", ""irreversible-action-risk""]","[""post-validation"", ""pre-output-commitment""]","[""irreversible_action"", ""high_stakes"", ""evidence_unavailable"", ""missing_required_information""]",[],L2,L4,"[""medical-evidence"", ""legal-evidence"", ""research"", ""software-development"", ""general""]","[""creative-exploration"", ""content-transformation""]","[""grounding-no-invention"", ""epistemic-status-gating""]","[""fermionic-veto""]","[""Return supported partial results when useful; abstain only at the unsupported or unsafe commitment boundary.""]",sufficiently-recovered,PASS,"Fail closed on essential support, not on optional evidence that does not affect the deliverable."
fermionic-veto,1.1.0,Non-Compensable Constraint Veto,"[""constraint-reasoning"", ""action-execution"", ""evaluation-audit""]","[""decision-support"", ""software-engineering""]","[""invariant-violation"", ""irreversible-action-risk"", ""action-permission-risk""]","[""under-verification"", ""evidence-conflict-suppression"", ""invalid-validation-signal""]","[""candidate evaluation"", ""QMS collapse"", ""pre-action safety gate""]","[""high_stakes"", ""irreversible_action"", ""contains_protected_literals"", ""requires_exact_fidelity""]","[""missing_required_information"", ""evidence_unavailable""]",L3,L4,"[""medical-evidence"", ""legal-evidence"", ""software-development"", ""data-analysis"", ""agent-development""]","[""knowledge-explanation"", ""creative-exploration"", ""content-authoring""]","[""critical-atomic-verification""]","[""fail-closed-abstention""]","[""Use only for defined, evidenced, non-compensable predicates; never promote a soft preference into a veto.""]",sufficiently-recovered,PASS,"A gate in aggregation or action selection, not a general severity label."
forethought-checkpoints,1.1.0,Forethought / Checkpoints,"[""action-execution"", ""planning-design"", ""software-engineering"", ""workflow-automation""]","[""decision-support"", ""skill-agent-creation""]","[""tool-misuse"", ""action-permission-risk"", ""irreversible-action-risk""]","[""premature-commitment"", ""weak-stopping-rule""]","[""before external action"", ""before destructive change"", ""before dependency handoff""]","[""tools_required"", ""irreversible_action"", ""human_approval_available"", ""external_action_allowed"", ""high_stakes""]","[""review_only""]",L1,L4,"[""software-development"", ""agent-development"", ""general"", ""legal-evidence""]","[""content-understanding"", ""knowledge-explanation""]","[""task-set-lock-in""]","[""fail-closed-abstention""]","[""Scale checkpoint cost to reversibility and consequence; do not duplicate an already enforced transaction guard.""]",sufficiently-recovered,PASS,Direct primary control for three tool and action failure modes.
future-proof-mode-selector,1.1.0,Runtime Compatibility Mode Selector,"[""skill-agent-creation"", ""workflow-automation""]","[""software-engineering"", ""planning-design""]","[""capability-hallucination"", ""version-drift"", ""packaging-activation-drift""]","[""mode-scope-authority-drift"", ""invalid-validation-signal""]","[""capability probe"", ""task-risk assessment"", ""mode selection"", ""fallback routing""]","[""tools_required"", ""multi_agent_available"", ""network_available"", ""durable_state_available""]",[],L3,L5,"[""agent-development"", ""software-development"", ""general""]","[""knowledge-explanation"", ""content-understanding"", ""content-transformation"", ""quantitative-analysis""]","[""model-size-drift-scaling""]","[""hybrid-mode""]","[""Capability probes may scale scaffolding but cannot weaken truth, authority, or safety invariants.""]",sufficiently-recovered,PASS,Relevant only when one package must run across materially different hosts or model capabilities.
grounding-no-invention,1.1.0,Grounding / No-Invention,"[""research-grounding"", ""content-understanding"", ""evaluation-audit""]","[""content-authoring"", ""decision-support"", ""action-execution"", ""knowledge-explanation""]","[""unsupported-claim"", ""capability-hallucination""]","[""unsupported-precision"", ""citation-source-mismatch"", ""poor-uncertainty-handling"", ""invalid-validation-signal"", ""abstention-miscalibration"", ""domain-context-contamination""]","[""evidence-intake"", ""reasoning"", ""draft-validation"", ""pre-output-verification""]","[""has_supplied_sources"", ""requires_citations"", ""tools_required"", ""web_available"", ""external_research_allowed"", ""review_only"", ""high_stakes""]",[],L0,L4,"[""research"", ""medical-evidence"", ""legal-evidence"", ""documentation"", ""general""]","[""creative-exploration""]",[],"[""epistemic-status-gating"", ""fail-closed-abstention""]","[""Allow clearly labeled invention in creative work; do not convert source-bounded work into external research without permission.""]",sufficiently-recovered,PASS,"Foundational prior whenever output depends on documents, observations, tools, or consequential factual claims."
hybrid-mode,1.1.0,Explore-Then-Commit Mode,"[""planning-design"", ""software-engineering"", ""action-execution""]","[""workflow-automation"", ""skill-agent-creation"", ""research-grounding""]","[""premature-commitment"", ""mode-scope-authority-drift"", ""action-permission-risk"", ""branch-contamination""]","[""under-verification"", ""task-drift"", ""constraint-loss""]","[""POWER planning"", ""collapse and handoff"", ""SAFE execution"", ""post-execution validation""]","[""editing_requested"", ""external_action_allowed"", ""irreversible_action"", ""high_stakes"", ""persistent_work""]","[""review_only"", ""missing_required_information""]",L3,L5,"[""software-development"", ""agent-development"", ""research"", ""general""]","[""knowledge-explanation"", ""content-understanding"", ""evaluation-audit""]","[""power-mode"", ""mode-lock-in""]","[""ultimate-suite-supervisor""]","[""The planning-to-execution transition needs explicit authority, a collapsed state, and postcondition validation.""]",sufficiently-recovered,PASS,"Select for genuine explore-then-commit workflows, not ordinary bounded implementation."
image-text-fidelity-capture,1.1.0,Image Text Fidelity Capture,"[""content-understanding"", ""research-grounding""]","[""content-transformation"", ""evaluation-audit""]","[""provenance-loss"", ""citation-source-mismatch"", ""invariant-violation"", ""unsupported-claim""]","[""evidence-coverage-gap"", ""unsupported-precision""]","[""source-intake"", ""evidence-capture"", ""capture-validation""]","[""has_supplied_sources"", ""requires_exact_fidelity"", ""contains_protected_literals"", ""requires_citations"", ""multi_document"", ""tools_required""]",[],L1,L3,"[""research"", ""long-context"", ""medical-evidence"", ""legal-evidence"", ""documentation""]","[""knowledge-explanation"", ""creative-exploration"", ""action-execution""]","[""scoped-loader""]","[""critical-atomic-verification""]","[""Keep transcription separate from visual interpretation and preserve location-level provenance for uncertain capture.""]",sufficiently-recovered,PASS,Use only when image-borne text or visible structure is part of the source corpus.
invariance-stress-scaffold,1.1.0,Protected-Constraint Robustness Test,"[""software-engineering"", ""content-transformation""]","[""constraint-reasoning"", ""evaluation-audit""]","[""invariant-violation""]","[""over-editing"", ""under-editing"", ""under-verification"", ""constraint-loss""]","[""post-draft validation"", ""pre-release stress testing""]","[""tests_available"", ""editing_requested"", ""file_write_allowed"", ""requires_exact_fidelity"", ""contains_protected_literals"", ""deterministic_verifier_available""]",[],L1,L3,"[""software-development"", ""documentation"", ""authoring"", ""agent-development""]","[""knowledge-explanation"", ""creative-exploration""]","[""bidirectional-consistency""]","[""parallel-qms""]","[""Stress only declared invariants; do not treat intentionally transformed features as preservation failures.""]",source-gap,PASS,Operational selection prior only; the original historical mechanics remain unrecovered.
meta-awareness,1.1.0,Workflow Health Monitor,"[""workflow-automation"", ""skill-agent-creation"", ""software-engineering""]","[""planning-design"", ""research-grounding""]","[""orchestration-fragmentation"", ""weak-stopping-rule"", ""stale-state""]","[""lost-state"", ""task-drift"", ""over-branching""]","[""runtime observation"", ""health classification"", ""supervisor notification""]","[""persistent_work"", ""handoff_expected"", ""multi_agent_available"", ""long_context""]","[""deterministic_verifier_available""]",L3,L5,"[""agent-development"", ""software-development"", ""long-context"", ""research""]","[""knowledge-explanation"", ""content-transformation"", ""quantitative-analysis""]","[""forethought-checkpoints""]","[""meta-supervisor""]","[""Monitor only observable process-health signals and route them to bounded repair; do not imply sentience or hidden introspection.""]",sufficiently-recovered,PASS,"A high-complexity workflow monitor, not a default self-reflection layer."
meta-stability,1.1.0,Stable-State Recovery Mode,"[""workflow-automation"", ""skill-agent-creation"", ""software-engineering""]","[""planning-design"", ""research-grounding""]","[""stale-state"", ""lost-state"", ""branch-contamination""]","[""orchestration-fragmentation"", ""version-drift"", ""task-drift""]","[""instability detection"", ""change freeze"", ""checkpoint restoration"", ""controlled resume""]","[""persistent_work"", ""long_context"", ""context_window_pressure"", ""tightly_shared_state"", ""corpus_mutable""]","[""branches_independent""]",L2,L4,"[""long-context"", ""agent-development"", ""software-development"", ""research""]","[""knowledge-explanation"", ""content-transformation"", ""quantitative-analysis""]","[""drift-suppression"", ""state-snapshot""]","[""meta-supervisor""]","[""Restore only a verified trusted checkpoint; local defects should use local repair instead of freezing the workflow.""]",sufficiently-recovered,PASS,Recovery prior for observable coherence degradation under repeated change.
meta-supervisor,1.1.0,Workflow Repair Supervisor,"[""skill-agent-creation"", ""workflow-automation""]","[""software-engineering"", ""research-grounding""]","[""orchestration-fragmentation"", ""weak-stopping-rule"", ""over-branching""]","[""under-verification"", ""over-verification"", ""task-drift"", ""lost-state""]","[""health intake"", ""failure classification"", ""repair routing"", ""recheck""]","[""multi_agent_available"", ""persistent_work"", ""branches_independent"", ""handoff_expected""]","[""tightly_shared_state"", ""deterministic_verifier_available"", ""review_only""]",L4,L5,"[""agent-development"", ""software-development"", ""long-context"", ""research""]","[""knowledge-explanation"", ""content-transformation"", ""quantitative-analysis"", ""creative-exploration""]","[""meta-awareness"", ""meta-stability""]","[""ultimate-suite-supervisor""]","[""Use only when multiple repair modules need routing; one observable local defect should remain a local repair.""]",strongly-derivable,PASS,"Composition priors explicitly demote or exclude this supervisor for simple, deterministic, or tightly shared-state work."
micro-repair,1.1.0,Minimal Local Correction,"[""software-engineering"", ""content-transformation""]","[""content-authoring""]","[""over-editing""]","[""invariant-violation"", ""under-editing"", ""constraint-loss""]","[""defect localization"", ""local correction"", ""neighborhood recheck""]","[""editing_requested"", ""file_write_allowed"", ""reproduction_available"", ""acceptance_criteria_present""]","[""review_only"", ""irreversible_action""]",L0,L2,"[""software-development"", ""documentation"", ""authoring"", ""general""]","[""planning-design"", ""research-grounding"", ""evaluation-audit""]",[],"[""surgery-edit"", ""regenerative-rewrite""]","[""Confirm the defect is local; repeated or architectural failure requires a broader repair class.""]",sufficiently-recovered,PASS,Direct primary control for over-editing and the default prior for reproducible bounded fixes.
micro-scaffolding,1.1.0,Micro-Scaffolding,"[""content-transformation"", ""software-engineering"", ""constraint-reasoning""]","[""research-grounding"", ""content-authoring""]","[""constraint-loss"", ""invariant-violation"", ""task-drift""]","[""context-overload"", ""under-verification""]","[""pre-subtask planning"", ""execution"", ""subtask completion""]","[""requires_exact_fidelity"", ""contains_protected_literals"", ""structured_output_required"", ""acceptance_criteria_present"", ""high_stakes""]","[""context_window_pressure""]",L1,L2,"[""software-development"", ""documentation"", ""authoring"", ""data-analysis""]","[""knowledge-explanation"", ""creative-exploration"", ""action-execution""]","[""task-set-lock-in""]","[""phase-locked-reasoning-scaffold""]","[""Keep the scaffold local and temporary; do not duplicate the parent StateBlock or source corpus.""]",sufficiently-recovered,PASS,"Bounded local aid for fragile multi-step work, not an always-on prompt wrapper."
mode-lock-in,1.1.0,Mode Lock-In,"[""action-execution"", ""evaluation-audit"", ""software-engineering""]","[""planning-design"", ""workflow-automation"", ""content-transformation""]","[""mode-scope-authority-drift""]","[""action-permission-risk"", ""task-drift"", ""domain-context-contamination""]","[""after clarification"", ""before substantive work"", ""at transition requests"", ""final validation""]","[""review_only"", ""editing_requested"", ""external_action_allowed"", ""persistent_work"", ""high_stakes""]","[""missing_required_information""]",L1,L3,"[""software-development"", ""agent-development"", ""legal-evidence"", ""general""]","[""creative-exploration"", ""knowledge-explanation""]","[""task-set-lock-in""]","[""meta-stability""]","[""Clarify materially different modes before locking; explicit user-authorized transitions must remain possible.""]",sufficiently-recovered,PASS,"Direct primary control for mode, scope, and authority drift."
model-size-drift-scaling,1.1.0,Model-Capability Scaffolding Scale,"[""skill-agent-creation"", ""workflow-automation""]","[""software-engineering""]","[""packaging-activation-drift"", ""capability-hallucination"", ""version-drift""]","[""over-verification"", ""invalid-validation-signal""]","[""model evaluation"", ""control classification"", ""scaffold scaling"", ""regression monitoring""]","[""tests_available"", ""deterministic_verifier_available"", ""multi_agent_available"", ""tools_required""]","[""evidence_unavailable""]",L3,L5,"[""agent-development"", ""software-development"", ""general""]","[""knowledge-explanation"", ""content-understanding"", ""content-transformation"", ""content-authoring""]","[""reasoning-scale-controller""]","[""future-proof-mode-selector""]","[""Scale only controls supported by comparative evidence; never remove invariant truth, safety, or authority boundaries.""]",sufficiently-recovered,PASS,"Model strength is a measured compatibility input, not blanket permission to simplify."
multi-layer-consistency,1.1.0,Multi-Layer Consistency,"[""software-engineering"", ""content-authoring"", ""constraint-reasoning""]","[""planning-design"", ""evaluation-audit"", ""content-understanding""]","[""invariant-violation"", ""constraint-loss"", ""under-editing""]","[""under-verification"", ""domain-context-contamination"", ""invalid-validation-signal""]","[""integration"", ""hierarchical validation"", ""pre-release""]","[""multi_document"", ""long_context"", ""structured_output_required"", ""acceptance_criteria_present"", ""requires_exact_fidelity""]",[],L2,L4,"[""software-development"", ""documentation"", ""long-context"", ""legal-evidence"", ""agent-development""]","[""knowledge-explanation"", ""creative-exploration""]","[""bidirectional-consistency""]","[""parallel-qms""]","[""Apply only where layers are nested or compositional; peer alternatives should remain distinct rather than forced consistent.""]",sufficiently-recovered,PASS,"Vertical consistency prior for artifacts with meaningful local, module, and global levels."
multi-truth-gating,1.1.0,Independent Evidence Gate,"[""research-grounding"", ""decision-support"", ""evaluation-audit""]","[""knowledge-explanation"", ""quantitative-analysis""]","[""evidence-conflict-suppression"", ""unsupported-claim""]","[""poor-uncertainty-handling"", ""source-applicability-mismatch"", ""invalid-validation-signal""]","[""post-analysis"", ""pre-synthesis"", ""pre-output-commitment""]","[""evidence_conflicting"", ""high_stakes"", ""multi_document"", ""requires_citations""]","[""deterministic_verifier_available"", ""evidence_unavailable""]",L3,L4,"[""research"", ""medical-evidence"", ""legal-evidence"", ""data-analysis"", ""general""]","[""content-transformation"", ""action-execution"", ""creative-exploration""]","[""epistemic-status-gating""]","[""fermionic-veto"", ""parallel-qms""]","[""Require genuinely independent and applicable anchors; duplicated provenance is not multiple truth support.""]",sufficiently-recovered,PASS,High-cost gate for consequential conclusions resting on fragile or conflicting evidence.
multiverse-reasoning,1.1.0,Bounded Alternative Search,"[""planning-design"", ""creative-exploration"", ""decision-support""]","[""research-grounding"", ""software-engineering""]","[""premature-commitment"", ""tunnel-vision""]","[""invalid-validation-signal"", ""branch-contamination"", ""over-branching"", ""weak-stopping-rule""]","[""planning"", ""hypothesis comparison"", ""architecture selection"", ""pre-draft outline selection""]","[""branches_independent"", ""evidence_conflicting""]","[""requires_exact_fidelity"", ""irreversible_action"", ""tightly_shared_state"", ""time_sensitive""]",L3,L4,"[""agent-development"", ""research"", ""software-development"", ""authoring"", ""general""]","[""content-transformation"", ""action-execution"", ""knowledge-explanation""]","[""anti-tunnel-vision""]","[""power-mode""]","[""Bound branch count, isolate assumptions, define collapse criteria, and stop when alternatives no longer add decision value.""]",sufficiently-recovered,PASS,Expensive alternative search; never the default for a precise or single-path task.
neuro-focus,1.1.0,Bounded Attention Focus,"[""content-understanding"", ""research-grounding"", ""software-engineering""]","[""evaluation-audit"", ""constraint-reasoning""]","[""context-overload"", ""evidence-coverage-gap""]","[""tunnel-vision"", ""premature-commitment""]","[""post-intake prioritization"", ""focused execution"", ""checkpoint review""]","[""long_context"", ""multi_document"", ""context_window_pressure""]","[""evidence_conflicting"", ""branches_independent""]",L1,L3,"[""long-context"", ""research"", ""software-development"", ""medical-evidence"", ""legal-evidence""]","[""creative-exploration"", ""action-execution"", ""workflow-automation""]","[""scoped-loader""]","[""dynamic-depth-allocation""]","[""Sample decisive context before narrowing and pair with anti-tunnel-vision when plausible alternatives remain.""]",strongly-derivable,PASS,"Attention allocation prior for a known bounded target, not a substitute for discovery."
non-authoritative-branch-suppression,1.1.0,Non-Authoritative Branch Suppression,"[""research-grounding"", ""planning-design"", ""content-understanding""]","[""software-engineering"", ""evaluation-audit""]","[""branch-contamination"", ""domain-context-contamination""]","[""evidence-conflict-suppression"", ""tunnel-vision"", ""stale-state""]","[""context classification"", ""retrieval"", ""branch selection"", ""pre-action validation""]","[""has_supplied_sources"", ""multi_document"", ""long_context"", ""requires_exact_fidelity""]","[""evidence_conflicting"", ""missing_required_information""]",L2,L3,"[""research"", ""long-context"", ""legal-evidence"", ""software-development"", ""documentation""]","[""creative-exploration"", ""action-execution""]","[""drift-suppression""]","[""drift-sink-scaffold""]","[""Authority must be resolved first; preserve contrary evidence even when its branch is non-governing.""]",source-gap,PASS,Operational prior only; original historical mechanics remain unrecovered.
parallel-qms,1.1.0,Parallel Validation System,"[""evaluation-audit"", ""research-grounding"", ""software-engineering""]","[""decision-support"", ""action-execution"", ""skill-agent-creation""]","[""under-verification"", ""invalid-validation-signal""]","[""over-verification"", ""orchestration-fragmentation"", ""evidence-conflict-suppression""]","[""validation design"", ""parallel or staged evaluation"", ""repair"", ""global QMS collapse""]","[""high_stakes"", ""irreversible_action"", ""evidence_conflicting"", ""branches_independent"", ""multi_agent_available""]","[""deterministic_verifier_available"", ""tightly_shared_state""]",L3,L5,"[""research"", ""software-development"", ""medical-evidence"", ""legal-evidence"", ""agent-development""]","[""knowledge-explanation"", ""content-transformation"", ""creative-exploration""]","[""critical-atomic-verification""]","[""ultimate-suite-supervisor""]","[""Validators need distinct failure targets or evidence; majority vote and correlated self-critique are not independent validation.""]",sufficiently-recovered,PASS,Use only when structured multi-validator topology adds information beyond one direct check.
pedagogical-alignment,1.1.0,Pedagogical Alignment Constraint,"[""knowledge-explanation"", ""content-authoring""]","[""content-transformation""]","[""task-drift"", ""unsupported-claim""]","[""poor-uncertainty-handling"", ""constraint-loss""]","[""audience modeling"", ""explanation design"", ""comprehension validation""]","[""structured_output_required"", ""acceptance_criteria_present""]","[""requires_exact_fidelity"", ""contains_protected_literals"", ""high_stakes""]",L1,L2,"[""documentation"", ""authoring"", ""general"", ""software-development""]","[""action-execution"", ""workflow-automation"", ""evaluation-audit""]","[""explanation-minimality-scaffold""]","[""style-alignment""]","[""Adapt presentation without weakening claims, erasing uncertainty, or altering protected wording.""]",sufficiently-recovered,PASS,Requires a known audience or a non-material audience assumption.
phase-locked-reasoning-scaffold,1.1.0,Stage-Separated Reasoning Scaffold,"[""research-grounding"", ""content-authoring"", ""content-understanding""]","[""decision-support"", ""evaluation-audit"", ""planning-design""]","[""branch-contamination"", ""provenance-loss"", ""evidence-conflict-suppression""]","[""premature-commitment"", ""task-drift"", ""constraint-loss""]","[""evidence processing"", ""analysis"", ""synthesis"", ""final validation""]","[""multi_document"", ""long_context"", ""has_supplied_sources"", ""requires_citations"", ""context_window_pressure""]","[""tightly_shared_state""]",L2,L4,"[""research"", ""long-context"", ""medical-evidence"", ""legal-evidence"", ""authoring""]","[""knowledge-explanation"", ""action-execution""]","[""mode-lock-in"", ""micro-scaffolding""]","[""multi-layer-consistency""]","[""Declare governed transitions between phases; separation must not block legitimate integration or hide source uncertainty.""]",strongly-derivable,PASS,"Select when evidence, analysis, synthesis, and validation have distinct contamination risks."
placeholder-suppression,1.1.0,Placeholder Suppression,"[""content-authoring"", ""software-engineering"", ""skill-agent-creation""]","[""content-transformation"", ""workflow-automation""]","[""under-editing"", ""packaging-activation-drift"", ""invariant-violation""]","[""invalid-validation-signal"", ""under-verification""]","[""artifact assembly"", ""pre-release scan"", ""finalization gate""]","[""structured_output_required"", ""acceptance_criteria_present"", ""editing_requested"", ""file_write_allowed""]","[""requires_exact_fidelity""]",L1,L2,"[""documentation"", ""software-development"", ""agent-development"", ""authoring""]","[""knowledge-explanation"", ""research-grounding"", ""decision-support"", ""action-execution""]","[""critical-atomic-verification""]","[""parallel-qms""]","[""Preserve placeholders when they are the declared product, approved redaction markers, or syntax examples.""]",sufficiently-recovered,PASS,Finalization check for template-driven artifacts; not a global ban on placeholder syntax.
power-mode,1.1.0,Deep Exploration Mode,"[""planning-design"", ""creative-exploration""]","[""software-engineering"", ""skill-agent-creation"", ""decision-support"", ""research-grounding""]","[""premature-commitment"", ""tunnel-vision""]","[""task-drift"", ""over-branching"", ""weak-stopping-rule"", ""branch-contamination""]","[""problem framing"", ""candidate generation"", ""system analysis"", ""QMS collapse""]","[""branches_independent"", ""acceptance_criteria_present"", ""persistent_work"", ""multi_agent_available""]","[""requires_exact_fidelity"", ""irreversible_action"", ""time_sensitive"", ""tightly_shared_state""]",L3,L5,"[""agent-development"", ""software-development"", ""research"", ""authoring"", ""general""]","[""content-transformation"", ""action-execution"", ""knowledge-explanation"", ""evaluation-audit""]","[""multiverse-reasoning""]","[""hybrid-mode""]","[""Bound exploration by decision criteria, branch budget, and collapse rules before any committed execution.""]",sufficiently-recovered,PASS,"Meta-architecture prior for genuinely ambiguous system-wide design, never ordinary grounded execution."
progressive-mode-shaping,1.1.0,Explore-to-Execute Transition,"[""planning-design""]","[""creative-exploration"", ""action-execution""]","[""premature-commitment"", ""mode-scope-authority-drift""]","[""task-drift"", ""poor-handoff""]","[""exploration"", ""candidate comparison"", ""decision lock"", ""execution handoff""]","[""acceptance_criteria_present"", ""editing_requested"", ""external_action_allowed""]","[""review_only"", ""missing_required_information""]",L2,L4,"[""general"", ""software-development"", ""agent-development""]","[""knowledge-explanation"", ""content-transformation""]","[""mode-lock-in""]","[""stateblock""]","[{""slug"": ""anti-tunnel-vision"", ""reason"": ""Preserves alternative consideration before the decision is locked.""}]",sufficiently-recovered,PASS,Prefer only when exploration must converge into a committed execution path; selection does not itself authorize action.
